,0
868,"Cryptocurrency Exchange - Legal Counsel
Save
Black Swan Group Singapore
Legal Counsel role with a fast-growing digital assets exchange. The role will have global coverage and be responsible for providing legal guidance to the business and assist in its global expansion.
The organisation offers you the chance to: Advise on legal disputes. Draft and review contracts, legal documents and patents. Assist in developing and maintaining the legal framework. Advise the business on relevant laws and legal requirements across different jurisdiction as part of the firm’s
Full time
1 day ago

Competitive"
869,"Cryptocurrency Exchange - AML Generalist
Save
Black Swan Group Singapore
Calling out to AML professionals looking for a way in to the fast-growing Fintech Industry! A Fintech start-up focusing on cryptocurrency is looking for an AML generalist who is dynamic and has genuine interest in joining the cryptocurrency sector. The role will focus on AML functions and has the potentially to become a team management position.
A Fintech focusing on cryptocurrency is looking for an AML generalist who is dynamic and has genuine interest in joining the cryptocurrency sector.
Full time
1 day ago

Competitive"
870,"Cryptocurrency Exchange - Regulatory Compliance
Save
Black Swan Group Singapore
Fast growing international cryptocurrency exchange looking to hire a regulatory compliance professional. The role will have a global coverage focusing on licensing application and compliance advisory.
The organisation offers you the chance to: Be part of the crucial global expansion by applying and maintaining licenses in different jurisdiction. Keep abreast of regulatory developments and advise the business on licensing requirements. Assist in developing annual compliance test plan and ca
Full time
1 day ago

Competitive"
871,"Asset Manager - Investment Compliance
Save
Black Swan Group Singapore
Great and exciting opportunity to be part of an established fund manager, working alongside experienced compliance professionals.
The organisation offers you the chance to: Keep up to date on regulatory developments and advise the business on investment compliance matters. Advise business on investment restrictions and matters. Establish and carry out the compliance monitoring program to ensure adherence to regulatory obligations. Assist in maintain the investment compliance framework and
Full time
1 day ago

$84,000"
872,"Investigations (Compliance)
Save
Morgan McKinley Singapore
A leading Private Bank in Singapore is looking for someone to join their investigations team within their wider Transaction Monitoring team.
Responsibilities; Conduct investigations into suspicious transactions and/or activities and ensure timely review and completion of alerts escalated by the Client Monitoring Team Investigate and review escalations from Business Units that poses potential AML/CFT risks Identify possible red flags in the course of transaction investigations and recommend
Full time
1 day ago

SGD70000 - SGD85000 per annum"
873,"Business Development Lead, Private Bank
Save
Eames Consulting Singapore
My client is a global private bank with strong presence in key markets. Renowned for their strong management team and and supportive company culture, they are currently seeking to hire a successful Business Development Lead to join their Private Bank. This role is based in Singapore. The role is an Associate Director - Director level role.
Responsibilities As the successful candidate, you will be responsible for: Managing existing and growing a new portfolio of institutional clients withi
Full time
1 day ago

Attractive Base + Bonus"
874,"Digital Innovation Developer
Save
UBS Singapore
Job Reference #217388BR
Your team You'll be working and leading Merlion Hybrid Pod in Singapore. A Hybrid Pod is a cross business, technology team that works on innovative objectives to transform our applications on to the next gen hardware and software and build user facing enhancements. You will be working with regional and global teams to develop Cloud Onboarding and other solutions. All problems and solutions to delivery would be picked to provide maximum value and help our clients
Full time
1 day ago

Competitive"
875,"Digital Innovation Developer
Save
UBS Singapore
Job Reference #219672BR
Your team You'll be working and leading Merlion Hybrid Pod in Singapore. A Hybrid Pod is a cross business, technology team that works on innovative objectives to transform our applications on to the next gen hardware and software and build user facing enhancements. You will be working with regional and global teams to develop Cloud Onboarding and other solutions. All problems and solutions to delivery would be picked to provide maximum value and help our clients
Full time
1 day ago

Competitive"
876,"IT Support Analyst
Save
UBS Singapore
Job Reference #221932BR
Your team You'll be working in the Technology Service Desk team. TSD have Global presence. As a IT Support Analyst, you'll play an important role in providing excellent customer Service.. Your expertise • Excellent communication skills and telephone manner. • Excellent organizational skills • 1-2 years previous IT Service Desk and/or Call Centre experience required • Incident Management experience - Managing incidents including business expectations and com
Full time
1 day ago

Competitive"
877,"Innovation Lead Developer
Save
UBS Singapore
Job Reference #221063BR
Your team Based in Singapore, you'll be working in UBS Evolve - Center for Design Thinking & Innovation, innovation arm of the APAC technology function, building world-class solutions to meet evolving needs of high net-worth investors in Asia. We are committed to creating a client-centric innovation culture at UBS, Evolve enables bank-wide collaboration while connecting with the growing global FinTech ecosystem in pursuit of industry-leading platforms & services for
Full time
1 day ago

Competitive"
878,"IT System Administrator
Save
UBS Singapore
Job Reference #222169BR
Your team • You'll be working in the TOC Wintel team in Singapore. We provide APAC Region production support for the Windows Operating System in a distributed infrastructure and Work with Business/application teams to resolve incidents and implement long term solution. This benefits our Business and application team to maintain stability of the infrastructure. As a Windows System administrator you'll play an important role in production stability and addressing busi
Full time
1 day ago

Competitive"
879,"[6 months' Contract] Client On-Boarding, KYC and AML Assistant
Save
Noah International (Hong Kong) Limited Singapore
Noah Singapore will be providing training to high caliber interns for around 6 months.
Noah Holdings is a newly set up entity in Singapore with our parent company (Noah Group) headquartered in China and listed in NYSE. As part of the group’s international expansion strategy, we are setting up our operations in Singapore. We are a leading wealth and asset management service provider in China with a focus on global investment and asset allocation services for high net worth individuals and en
Full time
1 day ago

Competitive"
880,"Head of Strategy and Business Management, APAC - Vice President
Save
State Street Corporation Singapore
Who we are looking for The Head of APAC Strategy and Business Management, works closely with the Global and APAC Management teams, and other senior business leaders to support the development of State Street's corporate, regional and business-unit strategies and help maximise State Street's long-term performance. In addition, the role also leads the Business Management function, which is responsible for tracking execution progress versus regional goals and strategic priorities. This includ
Full time
1 day ago

Competitive"
881,"Project Management, Assistant Vice President
Save
State Street Corporation Singapore
Who we are looking for We are currently seeking an experienced manager who will be responsible for governance of projects across the APAC region. They will execute their responsibilities leveraging requisite project management, people management and strategic planning skills. Why this role is important to us The team you will be joining is a part of State Street Institutional Services (IS). SSGS gives asset owners and managers access to the essential financial tools they need to deliver ef
Full time
1 day ago

Competitive"
882,"Operations Client Service, Associate
Save
State Street Corporation Singapore
Who we are looking for To provide the highest level of client service to Investment Managers' Operation teams based in the Asia region, by effectively responding to their day-to-day queries. Candidate is responsible for the management of internal & external inquiries and assisting in the development of a full multi-level relationship with Investment Managers. Why this role is important to us The team you will be joining is a part of State Street Global Services (SSGS). SSGS gives asset own
Full time
1 day ago

Competitive"
883,"DevOps Lead
Save
Michael Page Singapore
Excellent opportunity with one of the top-tier insurance firms
Our client is a top tier insurance firm who is looking for a DevOps Lead. You will be the part of a team which is responsible for a low-touch, code-driven environment and does infrastructure stand-up to monitoring, networking, platform and network security, predictive analysis and containerisation. The DevOps Lead may partner with various development teams and contractors from time to time to implement various initiatives in an a
Full time
1 day ago

Negotiable"
884,"DevOps Engineer
Save
Eames Consulting Singapore
Our client is one of the leading global financial services firm and they are looking for a DevOps Engineer to join their team, focusing on development, adoption and use of best-practice DevOps procedures and tools. This is a permanent role based in Singapore.
As a DevOps Engineer you will be responsible for the following areas: Working with integration team to Architect and Design APIs to connect mobile apps, website with database. Automating deployment through CI/CD. Support services befo
Full time
1 day ago

Competitive"
885,"Senior Technology Risk Manager
Save
Eames Consulting Singapore
Our client, a global Financial Institution, is currently looking for a Senior Technology Risk Manager.
As a Senior Technology Risk Manager, you will be responsible for: Being part of a newly set-up second line function for the region, covering technology and cyber security risks Working closely with the country technology risk managers on technology governance, risks, and controls Contributing to the creation of a new set of policies and guidelines for the organisation Working closely with
Full time
1 day ago

$144,000 per annum + bonus"
886,"Senior Software Engineer (Java & IoT)
Save
Eames Consulting Singapore
Our Client harness renewable energy that incorporates their technology through IoT developments for environmental & financial sustainability amongst their clients who are passionate about building smart cities across the globe. The Role will give you countless opportunities for building complex Java applications for backend services in various sectors. You will expect strong collaboration amongst peers working on different layers of the project in an agile environment.
YOU need to be an expe
Full time
1 day ago

Competitive"
887,"Senior Business Analyst - Data, Trading System
Save
Eames Consulting Singapore
Data driven Business Analyst role - The team is responsible for analysing and transforming data across trading systems to support operation cross all asset classes.
The team is responsible for analysing and transforming data across trading systems to support operation cross all asset classes. Job scope: Conceptualize data req & design data transmission model. Define bank wide data model and interpretation standard Understand data req documentation and define mapping between logical data m
Full time
1 day ago

160k to 240k base"
888,"CRM Product Owner - Salesforce
Save
Eames Consulting Singapore
This is an exciting and essential CRM Product Owner role with a global Financial Services firm. We are looking for a highly-competent lead to drive & manage their CRM's roadmap & deliverables to help the sales family maximize & achieve business objectives.
As the key person for the CRM's plartform: POC on all things CRM, manage & communicate deliverables/insights to senior stakeholders You will manage a team of competent business analysts & developers and lead the entire solution cycle of
Full time
1 day ago

160k to 240k base"
889,"Business Analyst Lead - FX Cash / Margin Trading
Save
Eames Consulting Singapore
This is a key role supporting the Head to drive & deliver projects on Margin Trading & FX Execution.
As a lead, you will work with the cross functional teams to drive the business requirements gathering, analysis, designing workflows/processes in the area of margin trading & trade booking. Requirements:  Minimum 10 years of projects & BA experience  Must have experience in margin trading & lifecycle management FX cash and derivatives products.  Experience with MarginMan is big plus Inf
Full time
1 day ago

120k to 190k base"
890,"Lead Business Analyst - Equities / Private Bank
Save
Eames Consulting Singapore
Our client a leading bank is looking to hire an experienced Business Analyst with strong private banking product knowledge / work flow processes to support their transformational projects.
This is a key role supporting the Head to drive & deliver strategic projects on equity products. As a Business BA lead, you will work with the cross functional teams to drive the business requirements gathering, analysis, designing workflows/processes in the area of order management & trading. Requiremen
Full time
1 day ago

140k to 190k bas"
891,"Senior Python Engineer
Save
Eames Consulting Singapore
We are looking for an experienced Python Developer to build the backend infrastructure to build and layout the next series of products with a couple of our clients in technology and another in the financial industry.
Take ownership of the application logic and concepts across the backend of the application Work closely with the team’s DevOps Engineer to collaboratively implement changes to its AWS infrastructure Execute and own all operational aspects of your code (e.g. architecture document
Full time
1 day ago

14,000"
892,"[GOVT] Senior Security Engineer (Healthcare Industry) - TH
Save
BGC Search Singapore
Position Overview: The Security Engineer performs real-time analysis and trending of security log data from various security devices and systems. You will also be responsible to responds to user incident reports and evaluates the type and severity of security events.
12 months extendable contract Up to $6000 per month Office Hour (24/7 Operation Support as required)   Main Responsibilities Monitor security systems - Perform audits, reviews, security control assessments, and tests of sec
Full time
1 day ago

$4000 - $6000"
893,"Head of Security Operations
Save
BGC Search Singapore
We are looking someone with wide exposure to security technologies including firewalls, IPS/IDS, logging, monitoring and vulnerability management, whereby this personnel is able to use his/her understanding of network security practices to solve our client's enquiry and problems
Resposibilities :   Responsible for conducting information security investigation  Point of escalation for security analyst  Mentor security analysts regarding risk management, information security controls, incide
Full time
1 day ago

$80,000 - $100,000"
894,"Network & Voice Engineer - Global Top-tier Hedge Fund
Save
Aptitude Asia Singapore
Our client is a leading global Hedge Fund with global existence, currently expanding and strengthening their preference in Asia, looking to hire a seasoned Network Engineer to join them in Singapore.
Responsibilities:  Liaise with multiple teams to implement, support global network, focus on trading applications Utilize monitoring tools to locate, diagnose and solve complex network infrastructure related issues  Effectively communicate network related issues to traders and developers Suppo
Full time
1 day ago

Excellent"
895,"Associate - Fund Services
Save
Aptitude Asia Singapore
Our client, a top-rated Offshore Fund Services company, is hiring an Associate for their Singapore office. The role is to service and maintain relationships with a portfolio of hedge fund and PE clients and provide administrative support.
Job Responsibilities Process, manage, and review resolutions, minutes, consents, banking forms, and agreements of all kinds prior to director execution Prepare due diligence documentation and reference materials Schedule meetings/phone calls for the Direc
Full time
1 day ago

Competitive"
896,"Project Manager
Save
Aptitude Asia Singapore
Our client, a professional training company, is looking to hire a Project Manager to join their global team and contribute to the delivery of bespoke learning solutions to large corporate clients across the globe.
Responsibilities: Develop the scope, specification, and deadline for projects Manage the day-to-day operations of project delivery and drive across impacted teams Manage stakeholders, both internal and external, and keep them abreast of the project progress Meet financial objecti
Full time
1 day ago

Competitive"
897,"Corporate Strategy Associate, Singapore
Save
Ethos BeathChapman Singapore
Corporate Firm, Singapore based, permanent headcount Salary range: SGD140-160k annum base + VB on top (Salary will commensurate with years of experience)Consulting, strategy, financial modelling Responsibilities would include:Contribute to the Corporate Strategy function, Support engagements and work together with
meaningful and high-impact strategic work Support strategic problem-solving, including developing and testing hypotheses, strategic analysis, developing conceptual frameworks, and
Full time
1 day ago

SGD140000 per annum"
898,"Compliance Manager
Save
Cobalt Recruitment Singapore
Our client is a well-established Real Estate Investment firm based in Singapore. Due to expansion, they are looking for a Compliance Manager to join their team.
The Compliance Manager will be; Responsible for timely advice to all internal team and REIT/fund managers on compliance & risk-related issues, all regulatory compliance for the Groups' business including policies, framework, execution of processes and systems; liaising and communicating well with both the MAS and other authorities
Full time
1 day ago

Negotiable"
899,"Equities Advisor, Private Banking
Save
Eames Consulting Singapore
My client is an award-winning Private Bank, renowned for their strong stable brand and cohesive company culture. They are currently looking for a successful Equity Advisor to join their Investment Advisory team. The role is at a VP – Director level.
Responsibilities As the successful candidate, you will be responsible for: Liaising with front office team to prepare Equities or Structured Products investment reviews or reports for clients Performing research on global equities market to ge
Full time
2 days ago

Attractive Base + Bonus"
900,"Network Administrator
Save
Guotai Junan International Singapore Holdings Pte. Limited Singapore
Guotai Junan International Singapore Holdings Pte. Limited, a well established and reputable financial group, is looking for high caliber professionals to take up the following positions:
Job Responsibilities  Responsible on network maintenance and monitoring  Enforce security control policy in network setting and fulfil the requirement of TRM Perform routine log review on firewall, server and anti-virus and take remedial action when issue found Analyse and troubleshoot the network problem
Full time
2 days ago

Competitive"
901,"Fund Accountant
Save
CSC Global Financial Markets Singapore
Corporation Service Company is uniquely positioned to assist the world’s largest and best-known corporations in doing business around the globe. CSC is a privately-held company headquartered in Wilmington, DE that serves as a leading provider of legal and financial services for the world’s largest companies, law firms, and financial institutions. Our clients include many of the Fortune 1000® and Global 2000® companies, as well as some of the top merger and acquisition law firms worldwide. We str
Full time
2 days ago

Competitive"
902,"Senior Legal Executive (12 months contract)
Save
LMA Recruitment Singapore
The senior legal executive will be based in Singapore and be responsible for providing support for a variety of legal, corporate secretarial, compliance matters primarily Asia Pacific regions, which includes Singapore, Malaysia, India, Vietnam, Indonesia, Thailand, China, Taiwan, Hong Kong, Australia, Japan and others.   Job Description: Managing corporate secretarial matters for Singapore and Asia Pacific companies and subsidiaries. Drafting and reviewing general corporate and commercial ag
Full time
2 days ago

Competitive"
903,"Performance Reporting Officer (Contract)
Save
Randstad Singapore Pte Ltd Singapore
about the company Our client is a well established and reputable Private Bank. about the job To support queries and controls on Client performance reporting, Customised client statements, Monthly management information and statistics reporting Liaise closely with both internal and external stakeholders to ensure accuracy of information Ensure prompt and reliable support of daily processing needs Preparation of customized statements Issuing of reference letters and invoices Participate in ad
Full time
2 days ago

SGD4500 - SGD5500 per annum"
904,"Security & Risk Manager
Save
Robert Walters (Singapore) Pte Ltd Singapore
An exciting Security & Risk Manager job opportunity has become available working for a leading IT services company in Singapore.
About the Security & Risk Manager Role: You will be reporting to the Head of Security and working closely with all technology teams across the organisation. Key Responsibilities: Plan, initiate, lead, coordinate, and run information security risk analysis and periodic review of information security controls and processes based on SOX ITGC, ISO 27001, SANS CIS CS
Full time
2 days ago

Market Aligned"
905,"Cybersecurity GRC Advisory (Manager)
Save
Hays Digital Technology Singapore
IT governance, risk advisory job for leading consultancy firm Your new company This leading advisory firm has its focus on Technology, which is an area of critical importance among most clients today. To keep ahead of the market, the organisation adopts creative approach to manage risks, propelling their clients to focus on business goals.
Your new role You will be involved in identifying issues and developing creative strategies for clients, both local and international. As an advisor, you
Full time
2 days ago

Negotiable"
906,"Backend Developer – Well Recognized Financial Management Platform
Save
DARMAX GLOBAL Singapore
Excellent opportunity for an exception Backend Developer to take ownership in design, build and delivering complex web services and customer experiences
Our client is an innovative and well recognized financial management platform with a fast-paced and collaborative culture. Their ever-growing Engineering team based in Singapore are seeking for an exceptional Backend Developer with strong JAVA experience to continuously build out their platforms. Core responsibilities: Take ownership in
Full time
2 days ago

Competitive salary package"
907,"Project Manager - Contract
Save
Hays Malaysia Singapore
A Project Manager opportunity with a top tier investment bank in Singapore.
Your new company Client is a top tier investment bank located in Singapore. They are currently looking for a Project Manager with strong experience in leading process improvement/change management within the trading/investment finance sector.   Your new role Are you passionate about coordinating multiple tasks and deliverables? Do you have strong analytical skills and attention to detail? We’re looking for someo
Full time
2 days ago

15000"
908,"Compliance Specialist
Save
Schroders Investment Management Singapore
A dynamic Compliance Team comprising of 8 team members, and we are looking for a Compliance Specialist to join the team! Seeking candidates with asset management / funds exposure!
Overview of role Good compliance is good business, especially in an organisation which sets great store by its long term view and its reputation in the modern world of heightened regulatory and political pressure. This is a Singapore-based compliance role which is responsible for managing relationship with its fin
Full time
2 days ago

Competitive"
909,"Operations Analyst - 12 months contract
Save
Pontoon Asia Pacific Singapore
Responsible for the day-to-day analysis, research and resolution of varied problems. Functions include administering defined procedures, analysis and report generation, and exception processing. Coordinates the implementation of products/services and operational solutions. May assist in designing, documenting, implementing, and monitoring of new products/services. A role exists for a highly motivated, industry established, professional within the F&O and OTC Clearing Operations, who is looking t
Full time
2 days ago

SGD 4200"
910,"Compliance Manager
Save
Schroders Investment Management Singapore
A dynamic Compliance Team comprising of 8 team members, and we are looking for a Compliance Manager to join the team! Looking for candidates with trade surveillance / monitoring exposure!
Overview of role Good compliance is good business, especially in an organisation which sets great store by its long term view and its reputation in the modern world of heightened regulatory and political pressure. This is a Singapore-based compliance role which is responsible for managing relationship with
Full time
2 days ago

Competitive"
911,"Associate Analyst- Public Project & Infrastructure Finance
Save
Moody's Singapore
The Associate Analyst (AA) will conduct comprehensive analysis on an assigned portfolio of ratings/credits. The AA will perform holistic evaluations of credit risk by integrating credit inputs prepared by others, including Financial Data Analysts (FDAs), RRS Associates and external parties. In conducting credit analysis for their assigned portfolios, transactions or credit reviews, AAs will actively participate in rating committee discussions and interact with issuers and other market participan
Full time
2 days ago

Highly Competitive"
912,"Java/ J2EE Developer (Contract)
Save
Morgan McKinley Singapore
THE CLIENT Our client is an international banking organization providing various services and solutions to their extensive clientele base. They are looking for an experienced Java/J2EE Developer to join their team.
THE CLIENT Our client is an international banking organization providing various services and solutions to their extensive clientele base. They are looking for an experienced Java/J2EE Developer to join their team. RESPONSIBILITIES AND DUTIES: Development of new business pr
Full time
2 days ago

SGD8500 - SGD11000 per month"
913,"Head of Payment Operations + Head of Contact Centre Operations + Head of Project Management (Digital Banking)
Save
Charterhouse Partnership Singapore Singapore
I am currently representing a Digital Bank to hire experienced AVP/VP to join their Operations division to take up the following positions: - Payment Operations - Contact Centre Operations - Project Management If you have the relevant experience, please reach out to Matthew NG on 69500388 or MatthewN@charterhouse.com.sg for a confidential discussion.
Payment Operations Take responsibility in the design and implementation of the system and develop operating procedures Represent the bank in
Full time
2 days ago

Highly Competitive"
914,"Associate, Institutional Client Services (Korea)
Save
ALS Recruit Singapore
Our client is a Global Investment Firm who offers investment management with both equities and fixed income products. They are currently seeking an Associate, Institutional Client Services to join their team. The position will be based in Singapore.
The role will be responsible for supporting the business development and client retention activities of Regional Directors through timely client service for Asia ex Japan with a bias to Korean clients.  The incumbent will be responsible for gener
Full time
2 days ago

Attractive"
915,"Global Fixed Income Fund Manager
Save
ALS Recruit Singapore
Our client is an Investment Management firm providing a wide range of premium investment products to clients globally in the provision of fixed income funds. They are seeking a seasoned Fund Manager with Fixed Income coverage. The position will be based in Singapore.
The role will contribute to active strategy setting in the Global Fixed Income Team and would be responsible for managing Global mandate. The responsibilities include implementation of strategy, trade execution and mandate compl
Full time
2 days ago

Attractive"
916,"Arabic speaking KYC Analyst (12 months contract)
Save
LMA Recruitment Singapore
This is a 1 year contract position where the Analyst will be part of the KYC Middle Office team, in coordination with the Front Office, the KYC controllers and Financial Security. The Analyst will be in charge of analyzing and updating KYC files.
Main Responsibilities:   Analyze client profile to determine the required KYC information as per procedure. Analysis of existing documents, obtain the new documents if any changes are observed. Collect or source the client information from the pu
Full time
2 days ago

Competitive"
917,"French KYC Analyst (12 months contract)
Save
LMA Recruitment Singapore
This is a 1 year contract position where the Analyst will be part of the KYC Middle Office team, in coordination with the Front Office, the KYC controllers and Financial Security. The Analyst will be in charge of analyzing and updating KYC files.
Main Responsibilities:   Analyze client profile to determine the required KYC information as per procedure. Analysis of existing documents, obtain the new documents if any changes are observed. Collect or source the client information from the pu
Full time
2 days ago

Competitive"
918,"VP, Security Operation Centre, Group Information Security
Save
United Overseas Bank Singapore
Posting Date: 03-Jan-2021 Location: Alexandra, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 days ago

Competitive"
919,"VP, System Monitoring, Group Infrastructure & Platform Services
Save
United Overseas Bank Singapore
Posting Date: 09-Dec-2020 Location: Alexandra, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 days ago

Competitive"
920,"Assistant VP, Investment Analyst, UOB Asset Management
Save
United Overseas Bank Singapore
Posting Date: 10-Dec-2020 Location: Raffles Place, Singapore, SG Company: UOB Asset Management Ltd About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 days ago

Competitive"
921,"Assistant VP, Network & Infrastructure Security, Group Infrastructure and Platform Services
Save
United Overseas Bank Singapore
Posting Date: 10-Dec-2020 Location: Alexandra, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 days ago

Competitive"
922,"VP, Developer, Data Engineer
Save
United Overseas Bank Singapore
Posting Date: 09-Dec-2020 Location: Alexandra, Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 days ago

Competitive"
923,"Assistant VP, Data Scientist, UOB Asset Management
Save
United Overseas Bank Singapore
Posting Date: 10-Dec-2020 Location: Raffles Place, Singapore, SG Company: UOB Asset Management Ltd About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 days ago

Competitive"
924,"VP, Multi-Asset Central Dealer, UOB Asset Management
Save
United Overseas Bank Singapore
Posting Date: 10-Dec-2020 Location: Raffles Place, Singapore, SG Company: UOB Asset Management Ltd About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more
Full time
2 days ago

Competitive"
925,"Workday Human Capital Management Consultant, Digital HR (1 year contract)
Save
United Overseas Bank Singapore
Posting Date: 16-Dec-2020 Location: Singapore, Singapore, SG, Raffles Pl Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history
Full time
2 days ago

Competitive"
926,"SGUnited Mid-Career Pathways Programme - Group Retail, Personal Financial Services
Save
United Overseas Bank Singapore
Posting Date: 03-Jan-2021 Location: Singapore, SG Company: United Overseas Bank Limited About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 yea
Full time
2 days ago

Competitive"
927,"SGUP - Asset Management
Save
United Overseas Bank Singapore
Posting Date: 03-Jan-2021 Location: Singapore, SG Company: UOB Asset Management Ltd About UOB United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 years.
Full time
2 days ago

Competitive"
928,"Citigold Acquisition Manager
Save
Citi Singapore
The Field Sales Officer is an entry-level position responsible for meeting sales targets for financial products and services within their assigned district or location in coordination with the broader Consumer Sales team. The overall objective is to utilize basic product knowledge to build relationships with clients in order to recognize which financial products and services meet their needs. Responsibilities: Proactively approach Citi clients to establish real needs, understand the cli
Full time
2 days ago

Competitive"
929,"Commercial Banking - Business Credit Manager - Assistant Vice President
Save
Citi Singapore
You will be a member of the Commercial Lending Management Unit. This team is part of the Citi Commercial Bank which specializes in providing trade finance, working capital finance and treasury solutions for Emerging Corporate and Mid Corporate clients in Singapore. Responsibilities: As a member of the Citi Commercial Bank Commercial Lending Management Unit, you will be responsible for underwriting and assessing credit propositions and transactions submitted by Relationship Managers to e
Full time
2 days ago

Competitive"
930,"Payments Journey Engineer
Save
Citi Singapore
The Applications Development Senior Manager is a senior management level position responsible for accomplishing results through the management of a team or department in an effort to establish and implement new or revised application systems and programs in coordination with the Technology team. The overall objective of this role is to drive applications systems analysis and programming activities. Responsibilities: Manage one or more Applications Development teams in an effort to accom
Full time
2 days ago

Competitive"
931,"Banking Product Techno-Functional Project Manager
Save
Citi Singapore
The IT Project Manager provides full leadership and supervisory responsibility. Provides operational/service leadership and direction to team(s). Applies in-depth disciplinary knowledge through provision of value-added perspectives or advisory services. May contribute to the development of new techniques, models and plans within area of expertise. Strong communication and diplomacy skills are required. Generally has responsibility for volume, quality, timeliness of end results and shared respons
Full time
2 days ago

Competitive"
932,"Software Engineer - Java - Singapore
Save
Goldman Sachs Singapore
MORE ABOUT THIS JOB ENGINEERING What We Do At Goldman Sachs, our Engineers don't just make things - we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engine
Full time
2 days ago

Competitive"
933,"IT Quality Manager
Save
Citi Singapore
The IT Quality Manager provides full leadership and supervisory responsibility. Provides operational/service leadership and direction to team(s). Applies in-depth disciplinary knowledge through provision of value-added perspectives or advisory services. May contribute to the development of new techniques, models and plans within area of expertise. Strong communication and diplomacy skills are required. Generally has responsibility for volume, quality, timeliness of end results and shared respons
Full time
2 days ago

Competitive"
934,"ASIA & EMEA GCG Head of Operational Risk Management - Director
Save
Citi Singapore
Background: ORM mission is to drive comprehensive and consistent practices designed to identify, measure, monitor, report and manage operational risks while promoting the implementation of actions to address root causes which may lead to unintended operational risk losses. We drive our organization's understanding, anticipation and management of operational risk, so we can stay ahead of barriers to progress and keep Citi moving forward safely. ORM Objectives Support intelligent risk
Full time
2 days ago

Competitive"
935,"Embedded Data Reliability Engineer - Core Engineering
Save
Goldman Sachs Singapore
MORE ABOUT THIS JOB ABOUT YOU: You care deeply about the reliability of your software processes. Nearly everything you do is data-driven and you seek out innovative ways to measure at scale. You're equally at home explaining your team's analyses and recommendations to executives as you are discussing the technical trade-offs in product development within your teams. For you, automating away toil is a daily breath of fresh air, and clever little solutions with scalable impact are warm like sun
Full time
2 days ago

Competitive"
